Régions,Départements,Abri Provisoire
DAKAR,DAKAR,37
DAKAR,GUEDIAWAYE,41
DAKAR,PIKINE,85
DAKAR,RUFISQUE,11
DIOURBEL,BAMBEY,75
DIOURBEL,DIOURBEL,22
DIOURBEL,MBACKE,510
FATICK,FATICK,7
FATICK,FOUNDIOUGNE,32
FATICK,GOSSAS,16
KAFFRINE,BIRKILANE,24
KAFFRINE,KAFFRINE,61
KAFFRINE,KOUNGHEUL,79
KAFFRINE,MALEM HODAR,22
KAOLACK,GUINGUINEO,2
KAOLACK,KAOLACK,11
KAOLACK,NIORO DU RIP,61
KEDOUGOU,KEDOUGOU,16
KEDOUGOU,SALEMATA,8
KEDOUGOU,SARAYA,5
KOLDA,KOLDA,17
KOLDA,MEDINA YORO FOUL,19
KOLDA,VELINGARA,53
LOUGA,KEBEMER,101
LOUGA,LINGUERE,44
LOUGA,LOUGA,96
MATAM,KANEL,30
MATAM,MATAM,6
MATAM,RANEROU FERLO,16
SAINT LOUIS,DAGANA,36
SAINT LOUIS,PODOR,53
SAINT LOUIS,SAINT LOUIS,16
SEDHIOU,BOUNKILING,36
SEDHIOU,GOUDOMP,24
SEDHIOU,SEDHIOU,13
TAMBACOUNDA,BAKEL,15
TAMBACOUNDA,GOUDIRY,67
TAMBACOUNDA,KOUMPENTOUM,56
TAMBACOUNDA,TAMBACOUNDA,76
THIES,MBOUR,18
THIES,THIES,64
THIES,TIVAOUANE,118
ZIGUINCHOR,OUSSOUYE,3
